Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.72     0.00  1052660     0.00     0.00  std::pow(float, int)
  0.00      5.72     0.00  1052660     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      5.72     0.00  1052660     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      5.72     0.00   789515     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.72     0.00   789495     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      5.72     0.00   789495     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      5.72     0.00   789495     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      5.72     0.00   789495     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      5.72     0.00   789495     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      5.72     0.00   526336     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator*() const
  0.00      5.72     0.00   526330     0.00     0.00  cv::Mat::MStep::operator[](int)
  0.00      5.72     0.00   526330     0.00     0.00  cv::Mat::MStep::operator[](int) const
  0.00      5.72     0.00   263250     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::size() const
  0.00      5.72     0.00   263211     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::__normal_iterator(cv::Point_<int>* const&)
  0.00      5.72     0.00   263188     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::difference_type __gnu_cxx::operator-<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&)
  0.00      5.72     0.00   263169     0.00     0.00  float& cv::Mat::at<float>(cv::Point_<int>)
  0.00      5.72     0.00   263169     0.00     0.00  cv::Mat_<unsigned char>::operator()(cv::Point_<int>)
  0.00      5.72     0.00   263169     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::construct(cv::Point_<int>*, cv::Point_<int> const&)
  0.00      5.72     0.00   263169     0.00     0.00  float const& cv::Mat::at<float>(int, int) const
  0.00      5.72     0.00   263169     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator+(long const&) const
  0.00      5.72     0.00   263168     0.00     0.00  cv::Mat::release()
  0.00      5.72     0.00   263168     0.00     0.00  cv::Mat::~Mat()
  0.00      5.72     0.00   263168     0.00     0.00  void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >)
  0.00      5.72     0.00   263168     0.00     0.00  void std::swap<cv::Point_<int> >(cv::Point_<int>&, cv::Point_<int>&)
  0.00      5.72     0.00   263168     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >)
  0.00      5.72     0.00   263167     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00      5.72     0.00   263167     0.00     0.00  cv::Mat::MStep::MStep()
  0.00      5.72     0.00   263165     0.00     0.00  variance(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&, float)
  0.00      5.72     0.00   263165     0.00     0.00  unsigned char& cv::Mat::at<unsigned char>(cv::Point_<int>)
  0.00      5.72     0.00   263165     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      5.72     0.00   263165     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      5.72     0.00   263165     0.00     0.00  std::allocator<float>::allocator()
  0.00      5.72     0.00   263165     0.00     0.00  std::allocator<float>::~allocator()
  0.00      5.72     0.00   263165     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl()
  0.00      5.72     0.00   263165     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      5.72     0.00   263165     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base()
  0.00      5.72     0.00   263165     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      5.72     0.00   263165     0.00     0.00  std::vector<float, std::allocator<float> >::vector()
  0.00      5.72     0.00   263165     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      5.72     0.00   233605     0.00     0.00  std::sqrt(float)
  0.00      5.72     0.00      513     0.00     0.00  float& cv::Mat::at<float>(int, int)
  0.00      5.72     0.00       61     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator()
  0.00      5.72     0.00       60     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::max_size() const
  0.00      5.72     0.00       40     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator() const
  0.00      5.72     0.00       40     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::max_size() const
  0.00      5.72     0.00       40     0.00     0.00  cv::Point_<int>* std::uninitialized_copy<cv::Point_<int>*, cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*, cv::Point_<int>*)
  0.00      5.72     0.00       40     0.00     0.00  cv::Point_<int>* std::__uninitialized_copy_a<cv::Point_<int>*, cv::Point_<int>*, cv::Point_<int> >(cv::Point_<int>*, cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> >&)
  0.00      5.72     0.00       40     0.00     0.00  cv::Point_<int>* std::__uninitialized_move_a<cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> > >(cv::Point_<int>*, cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> >&)
  0.00      5.72     0.00       21     0.00     0.00  void std::_Destroy_aux<true>::__destroy<cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*)
  0.00      5.72     0.00       21     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_deallocate(cv::Point_<int>*, unsigned long)
  0.00      5.72     0.00       21     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::end()
  0.00      5.72     0.00       21     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::begin()
  0.00      5.72     0.00       21     0.00     0.00  void std::_Destroy<cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*)
  0.00      5.72     0.00       21     0.00     0.00  void std::_Destroy<cv::Point_<int>*, cv::Point_<int> >(cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> >&)
  0.00      5.72     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::deallocate(cv::Point_<int>*, unsigned long)
  0.00      5.72     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::allocate(unsigned long, void const*)
  0.00      5.72     0.00       20     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_check_len(unsigned long, char const*) const
  0.00      5.72     0.00       20     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_allocate(unsigned long)
  0.00      5.72     0.00       20     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, cv::Point_<int> const&)
  0.00      5.72     0.00        4     0.00     0.00  void std::_Construct<std::pair<unsigned char, float>, std::pair<unsigned char, float> >(std::pair<unsigned char, float>*, std::pair<unsigned char, float> const&)
  0.00      5.72     0.00        2     0.00     0.00  cv::Mat::create(int, int, int)
  0.00      5.72     0.00        2     0.00     0.00  cv::Mat::initEmpty()
  0.00      5.72     0.00        2     0.00     0.00  cv::Mat::Mat(int, int, int)
  0.00      5.72     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char, float> >::~new_allocator()
  0.00      5.72     0.00        2     0.00     0.00  std::allocator<std::pair<unsigned char, float> >::~allocator()
  0.00      5.72     0.00        2     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_M_get_Tp_allocator()
  0.00      5.72     0.00        1     0.00     0.00  global constructors keyed to dist(cv::Point_<int>, cv::Point_<int>)
  0.00      5.72     0.00        1     0.00     5.70  process_randomly(cv::Mat&, float (*)(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&, unsigned char), int)
  0.00      5.72     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.72     0.00        1     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      5.72     0.00        1     0.00     0.01  cv::Mat_<unsigned char>::Mat_(int, int, unsigned char const&)
  0.00      5.72     0.00        1     0.00     0.00  cv::Mat_<unsigned char>::~Mat_()
  0.00      5.72     0.00        1     0.00     0.01  cv::Mat_<unsigned char>::operator=(unsigned char const&)
  0.00      5.72     0.00        1     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::new_allocator()
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<cv::Point_<int> >::~new_allocator()
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char, float> >::deallocate(std::pair<unsigned char, float>*, unsigned long)
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char, float> >::allocate(unsigned long, void const*)
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char, float> >::new_allocator(__gnu_cxx::new_allocator<std::pair<unsigned char, float> > const&)
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char, float> >::new_allocator()
  0.00      5.72     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned char, float> >::max_size() const
  0.00      5.72     0.00        1     0.00     0.00  std::allocator<cv::Point_<int> >::allocator()
  0.00      5.72     0.00        1     0.00     0.00  std::allocator<cv::Point_<int> >::~allocator()
  0.00      5.72     0.00        1     0.00     0.00  std::allocator<std::pair<unsigned char, float> >::allocator(std::allocator<std::pair<unsigned char, float> > const&)
  0.00      5.72     0.00        1     0.00     0.00  std::allocator<std::pair<unsigned char, float> >::allocator()
  0.00      5.72     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<unsigned char, float>*>(std::pair<unsigned char, float>*, std::pair<unsigned char, float>*)
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_Vector_impl::_Vector_impl()
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_Vector_impl::~_Vector_impl()
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_Vector_base()
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::~_Vector_base()
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_M_allocate(unsigned long)
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_Vector_impl::_Vector_impl(std::allocator<std::pair<unsigned char, float> > const&)
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_Vector_impl::~_Vector_impl()
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_M_deallocate(std::pair<unsigned char, float>*, unsigned long)
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_Vector_base(unsigned long, std::allocator<std::pair<unsigned char, float> > const&)
  0.00      5.72     0.00        1     0.00     0.00  std::_Vector_base<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::~_Vector_base()
  0.00      5.72     0.00        1     0.00     0.00  void std::__uninitialized_fill_n<false>::uninitialized_fill_n<std::pair<unsigned char, float>*, unsigned long, std::pair<unsigned char, float> >(std::pair<unsigned char, float>*, unsigned long, std::pair<unsigned char, float> const&)
  0.00      5.72     0.00        1     0.00     0.00  std::pair<unsigned char, float>::pair()
  0.00      5.72     0.00        1     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::vector()
  0.00      5.72     0.00        1     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::~vector()
  0.00      5.72     0.00        1     0.00     0.00  std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::_M_fill_initialize(unsigned long, std::pair<unsigned char, float> const&)
  0.00      5.72     0.00        1     0.00     0.00  std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::vector(unsigned long, std::pair<unsigned char, float> const&, std::allocator<std::pair<unsigned char, float> > const&)
  0.00      5.72     0.00        1     0.00     0.00  std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::~vector()
  0.00      5.72     0.00        1     0.00     0.02  void std::random_shuffle<__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >)
  0.00      5.72     0.00        1     0.00     0.00  void std::uninitialized_fill_n<std::pair<unsigned char, float>*, unsigned long, std::pair<unsigned char, float> >(std::pair<unsigned char, float>*, unsigned long, std::pair<unsigned char, float> const&)
  0.00      5.72     0.00        1     0.00     0.00  void std::__uninitialized_fill_n_a<std::pair<unsigned char, float>*, unsigned long, std::pair<unsigned char, float>, std::pair<unsigned char, float> >(std::pair<unsigned char, float>*, unsigned long, std::pair<unsigned char, float> const&, std::allocator<std::pair<unsigned char, float> >&)
  0.00      5.72     0.00        1     0.00     0.00  void std::_Destroy<std::pair<unsigned char, float>*>(std::pair<unsigned char, float>*, std::pair<unsigned char, float>*)
  0.00      5.72     0.00        1     0.00     0.00  void std::_Destroy<std::pair<unsigned char, float>*, std::pair<unsigned char, float> >(std::pair<unsigned char, float>*, std::pair<unsigned char, float>*, std::allocator<std::pair<unsigned char, float> >&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.17% of 5.72 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.7    0.00    5.71                 main [1]
                0.00    5.70       1/1           process_randomly(cv::Mat&, float (*)(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&, unsigned char), int) [2]
                0.01    0.00       1/1           approx_cost(cv::Mat const&) [47]
                0.00    0.00     513/513         float& cv::Mat::at<float>(int, int) [114]
                0.00    0.00       2/263168      cv::Mat::~Mat() [99]
-----------------------------------------------
                0.00    5.70       1/1           main [1]
[2]     99.6    0.00    5.70       1         process_randomly(cv::Mat&, float (*)(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&, unsigned char), int) [2]
                3.49    0.82  263165/263165      mvl(std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > > const&, unsigned char) [3]
                0.17    1.09  263165/263165      nearestNeighbors(cv::Point_<int>, cv::Mat, cv::Mat_<unsigned char>&, std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >&) [4]
                0.01    0.07  263169/263169      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::push_back(cv::Point_<int> const&) [20]
                0.00    0.02       1/1           void std::random_shuffle<__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >) [35]
                0.01    0.00  263165/263165      cv::Mat::Mat(cv::Mat const&) [45]
                0.00    0.01       1/1           cv::Mat_<unsigned char>::Mat_(int, int, unsigned char const&) [48]
                0.00    0.00 1052668/18963489     cv::Point_<int>::Point_(cv::Point_<int> const&) [18]
                0.00    0.00  263169/15018046     cv::Point_<int>::Point_(int, int) [24]
                0.00    0.00       1/1           std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::vector(unsigned long, std::pair<unsigned char, float> const&, std::allocator<std::pair<unsigned char, float> > const&) [62]
                0.00    0.00 1052668/1052668     std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::operator[](unsigned long) [75]
                0.00    0.00  263170/263250      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::size() const [91]
                0.00    0.00  263169/263169      float& cv::Mat::at<float>(cv::Point_<int>) [94]
                0.00    0.00  263169/263169      cv::Mat_<unsigned char>::operator()(cv::Point_<int>) [95]
                0.00    0.00  263165/263168      cv::Mat::~Mat() [99]
                0.00    0.00  263165/263165      unsigned char& cv::Mat::at<unsigned char>(cv::Point_<int>) [102]
                0.00    0.00       1/2           cv::Mat::Mat(int, int, int) [131]
                0.00    0.00       1/1           std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::vector() [163]
                0.00    0.00       1/1           std::allocator<std::pair<unsigned char, float> >::allocator() [150]
                0.00    0.00       1/1           std::pair<unsigned char, float>::pair() [162]
                0.00    0.00       1/2           std::allocator<std::pair<unsigned char, float> >::~allocator() [133]
                0.00    0.00       1/21          std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::end() [121]
                0.00    0.00       1/21          std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::begin() [122]
                0.00    0.00       1/1           std::vector<std::pair<unsigned char, float>, std::allocator<std::pair<unsigned char, float> > >::~vector() [165]
                0.00    0.00       1/1           std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::~vector() [164]
